Uniprot,iBAQ A549_1,iBAQ A549_2,iBAQ A549_3,iBAQ GAMG_1,iBAQ GAMG_2,iBAQ GAMG_3,iBAQ HEK293_1,iBAQ HEK293_2,iBAQ HEK293_3,iBAQ HeLa_1,iBAQ HeLa_2,iBAQ HeLa_3,iBAQ HepG2_1,iBAQ HepG2_2,iBAQ HepG2_3,iBAQ Jurkat_1,iBAQ Jurkat_2,iBAQ Jurkat_3,iBAQ K562_1,iBAQ K562_2,iBAQ K562_3,iBAQ LnCap_1,iBAQ LnCap_2,iBAQ LnCap_3,iBAQ MCF7_1,iBAQ MCF7_2,iBAQ MCF7_3,iBAQ RKO_1,iBAQ RKO_2,iBAQ RKO_3,iBAQ U2OS_1,iBAQ U2OS_2,iBAQ U2OS_3
Q96SW2-1;Q96SW2;Q96SW2-2;B4DW89,4.716379,5.714262,NaN,5.607734,5.891543,5.980267,5.808886,6.476382,6.177883,5.485878,4.590329,5.075328,5.942702,5.495406,5.169057,5.991771,5.336059,5.905974,5.634578,NaN,3.974802,NaN,6.263257,5.546358,5.408002,5.722651,5.653502,NaN,5.252222,4.289321,4.979065,NaN,4.90696
Q96SZ5;B3KXN9,3.553931,NaN,5.477353,5.10185,NaN,NaN,5.507181,NaN,5.434633,3.41071,NaN,NaN,3.665731,5.169909,5.97685,5.166637,NaN,5.282804,6.106735,NaN,NaN,6.102845,5.621031,6.039374,4.95333,NaN,NaN,6.30818,4.999026,NaN,5.286905,NaN,5.684486
Q96SZ6-1;Q96SZ6;Q96SZ6-3;B4DI01;Q53H36;Q675N4;Q675N5;Q96SZ6-2;Q96SZ6-4;Q5QP51,4.527553,4.938019,NaN,NaN,4.019781,5.049722,NaN,5.294334,5.394277,5.3265,3.422852,5.034307,5.207877,4.835481,4.899716,NaN,NaN,4.58643,5.93881,4.169821,4.167022,4.69877,5.499907,4.925771,4.903822,4.855755,5.331508,NaN,4.244054,3.970151,5.72394,5.437053,5.921228
Q96T17-2;Q96T17;Q5JPS9;B9EGC7;Q96T17-1;B3KXC0;B7Z2J8;C9JMA4;B7Z3S7;B7ZA02,NaN,4.494503,3.972952,NaN,NaN,NaN,5.880557,6.432392,5.941044,NaN,4.76971,NaN,NaN,4.773516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q96T21;B4DR97;B4DZC7;Q59H19;Q5HYY1;Q6AW84;Q7L1Z0;Q9H0A1;Q9H948;Q5HYY5,3.750084,NaN,4.815956,NaN,5.397418,4.83786,5.170496,5.655753,5.224792,NaN,NaN,NaN,3.704108,NaN,NaN,NaN,NaN,4.469954,4.277036,NaN,4.181872,NaN,4.339769,NaN,NaN,5.404355,4.685428,NaN,4.708285,4.85223,NaN,3.966395,5.261596
Q96T23-1;Q96T23;Q05DG0;Q96T23-2;Q96T23-3;C9JLL8;C9JNJ1,5.210854,5.706513,5.532002,5.312854,5.74351,5.95036,5.909914,6.467016,6.18876,5.535611,5.033745,5.650842,4.964066,3.934917,5.09258,5.25227,4.180011,5.78987,6.244524,4.767007,4.262261,5.567626,6.109207,5.753238,5.638239,5.92715,5.611585,5.084683,5.297301,4.84236,5.794132,5.736763,6.405244
Q96T37-1;Q96T37;A1A693;Q3ZB86;Q59EY1;Q96T37-3;Q4V760;Q86VW9;Q96T37-2,5.297125,5.648409,5.619865,5.137449,5.478162,5.133858,6.372046,6.74552,6.32352,6.119025,5.96616,6.044736,5.184834,4.413987,5.347057,5.482345,4.888735,6.325721,6.315046,5.431509,5.525926,5.772285,6.257655,6.170643,5.880179,6.257727,6.18401,5.738408,5.095762,5.798333,5.584614,6.027064,6.235175
Q96T51-1;Q96T51;A8K7B1;A8MSJ1;Q96T51-2;B3KSL1,6.067331,6.306918,6.200276,6.268601,6.340702,6.300248,6.171288,6.449092,6.211708,5.885836,5.49181,6.126845,5.466779,5.447375,5.32224,5.958459,4.368026,6.334454,6.081815,5.298504,5.41699,5.810616,6.268929,5.871999,6.424212,6.653974,6.614169,5.750138,5.096702,5.192093,5.947198,5.444809,6.194681
Q96T58,4.304016,5.078166,5.3659,4.761469,5.243187,4.412192,5.739414,6.341771,5.849923,4.360821,4.741726,5.109309,4.582745,NaN,NaN,4.531019,NaN,4.809108,5.099922,3.13149,4.347974,2.998146,5.173128,3.252149,4.031853,4.419543,4.226445,4.55347,NaN,4.619823,3.884342,3.965832,5.193347
Q96T60;Q9BUL2,5.136404,5.659631,5.740212,NaN,4.909069,5.438052,6.08934,6.161068,6.001041,4.737693,4.495656,4.972379,5.161038,NaN,4.568882,6.121297,5.523265,6.345119,5.973197,NaN,4.956159,4.617786,4.628338,5.419906,5.417123,5.276255,5.850934,5.417538,4.596432,4.618581,5.998821,5.359854,6.325064
Q96T76-1;Q96T76;B3KPE5;B4E2I3;Q96T76-4;Q96T76-5;B0QZ74,NaN,NaN,NaN,5.442527,5.414154,NaN,NaN,NaN,NaN,5.428361,NaN,NaN,5.734047,4.933188,5.168939,5.287332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.345531,5.400469,NaN,NaN,NaN,NaN,NaN
Q96T83;B3KPP8,4.507276,NaN,NaN,NaN,5.460116,4.682326,4.710075,NaN,5.111632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.129013,NaN,NaN,NaN,NaN,5.81132,4.888129,NaN,5.446506,4.931407,5.147182,5.487252,NaN,NaN,NaN,NaN
Q96TA2-1;Q96TA2;Q96I63;Q96TA2-2;A8K5H7;B4DNM1;Q5T8D9;Q9NQ51;Q9Y2Q2,5.620355,6.413216,5.728021,5.940372,5.904786,6.091104,6.410575,6.426723,6.451418,6.365619,6.167672,6.345531,5.664237,5.040602,5.755143,5.212161,NaN,5.783618,6.653222,5.915268,5.568237,5.664915,6.43109,6.319231,6.127072,6.670228,6.685267,5.399224,NaN,5.486076,6.282078,6.083431,6.725569
Q96TC7-1;Q96TC7;B3KUI4;Q96TC7-2;A8MY21,5.16337,5.989655,5.065878,6.09625,6.392187,6.389202,6.176149,6.800559,6.404612,6.373096,6.033424,6.53623,6.223496,6.090293,6.171551,5.523122,4.952783,5.881875,6.423475,5.486176,5.609755,6.467386,7.132035,7.0574,6.090575,6.480251,6.411754,6.241073,5.608793,5.413987,5.838427,5.968235,6.345609
Q99406;A8K614,NaN,NaN,NaN,NaN,NaN,NaN,6.829824,6.859156,6.718377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.081383,6.248415,6.754769
