Uniprot,iBAQ A549_1,iBAQ A549_2,iBAQ A549_3,iBAQ GAMG_1,iBAQ GAMG_2,iBAQ GAMG_3,iBAQ HEK293_1,iBAQ HEK293_2,iBAQ HEK293_3,iBAQ HeLa_1,iBAQ HeLa_2,iBAQ HeLa_3,iBAQ HepG2_1,iBAQ HepG2_2,iBAQ HepG2_3,iBAQ Jurkat_1,iBAQ Jurkat_2,iBAQ Jurkat_3,iBAQ K562_1,iBAQ K562_2,iBAQ K562_3,iBAQ LnCap_1,iBAQ LnCap_2,iBAQ LnCap_3,iBAQ MCF7_1,iBAQ MCF7_2,iBAQ MCF7_3,iBAQ RKO_1,iBAQ RKO_2,iBAQ RKO_3,iBAQ U2OS_1,iBAQ U2OS_2,iBAQ U2OS_3
P31944;A9UFC0;B2CIS9,NaN,NaN,NaN,NaN,NaN,4.821455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.319252,NaN,NaN,3.701309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P31946-1;P31946;B5BU24;Q4VY19;Q59EQ2;Q4VY20,7.723152,8.130655,7.610809,7.909128,8.447453,8.033826,7.986763,8.431508,8.125839,7.881099,7.546247,7.829638,8.047392,7.755532,7.822632,7.699898,6.969062,7.963372,8.032175,7.498986,5.17499,7.696758,8.048092,8.177998,8.003762,8.414238,8.274897,7.801795,6.944428,4.861475,8.118694,8.246375,8.559644
P31946-2;P31946,NaN,NaN,7.062469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.310205,NaN,NaN,NaN,NaN,NaN,6.965606,5.760475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.459377,NaN,4.501251
P31947-1;P31947;P31947-2,7.301008,7.532461,6.611553,4.875171,NaN,5.718601,4.990419,6.186702,4.998321,7.69857,7.22016,7.640879,6.749798,6.292456,6.283957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.61902,7.491474,7.154242,7.499632,7.091069,7.386392,8.064458,8.208575,8.646011
P31948;B4DM70,7.642998,8.007321,7.508422,7.761138,8.039176,7.624736,8.016406,8.484982,8.109376,7.694842,7.463131,7.662427,7.921213,7.586666,7.667975,7.758919,7.177334,8.09937,7.94599,7.229861,6.718751,7.402709,8.055722,7.925199,7.928478,8.330961,8.178632,7.98679,7.53213,6.849075,7.946609,8.063483,8.485878
P31949;B2R5H0,8.127202,8.271121,7.510411,8.344156,8.6381,8.09496,7.703575,8.138587,7.825186,8.165363,7.799837,8.129593,7.162266,6.768564,7.032135,NaN,NaN,NaN,7.583833,6.604485,6.712717,7.621259,7.705847,8.16465,8.333125,8.71678,8.413802,8.142921,7.55002,7.758647,7.856499,8.137322,8.594094
P31995-1;P31995;P12318-1;P12318;P12318-2;P31995-2;C9JV69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.667705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.789073,NaN,6.168468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P32004-2;P32004;A4ZYW4;Q7Z2H2;Q7Z2I3;Q7Z2J0;Q7Z2J9;Q86SE4;P32004-1;A8K139;Q7Z3Z9,4.320831,NaN,NaN,7.229963,7.594834,7.198602,NaN,NaN,NaN,6.655378,6.3009,6.401228,2.735471,4.930363,4.442966,4.850266,4.521256,NaN,NaN,NaN,NaN,4.666022,NaN,NaN,5.681694,6.077477,5.678473,4.526145,NaN,NaN,4.766703,5.328991,5.838289
P32019-1;P32019;P32019-2;B3KMW4;P32019-4;C9J6U5;P32019-3,NaN,NaN,NaN,4.084826,NaN,4.581233,5.504158,6.147027,5.702853,4.628747,NaN,4.324406,NaN,NaN,NaN,4.918722,3.301507,5.750485,5.550375,3.543136,4.502072,4.075255,4.594956,3.843046,NaN,NaN,NaN,3.972208,NaN,NaN,3.608793,NaN,NaN
P32119;B4DF70;A6NIW5,NaN,4.983166,NaN,7.497165,7.545406,7.301551,8.407493,8.774925,8.31848,8.169351,7.428669,8.13133,8.256886,7.616885,8.161308,7.802,6.956533,7.983766,8.282237,7.296556,7.400814,8.272166,8.555772,8.761852,8.228374,8.410356,8.487266,8.261833,7.672301,7.028775,7.873965,7.74101,8.17076
P32121-3;P32121;P32121-1;A8K4I6;B5B0C0;Q59EM5;B4DLW0;P32121-2;Q68DZ5,4.770012,4.911834,5.836349,NaN,NaN,4.857085,6.266538,6.237544,6.344038,NaN,3.844309,5.555723,NaN,NaN,4.709236,6.142952,4.600886,6.6381,NaN,NaN,5.008132,NaN,5.479791,5.630774,NaN,NaN,NaN,6.575523,5.758987,5.67408,4.227681,4.820471,5.929557
P32189-3;P32189;B4DH54;Q6IQ27;P32189-2;A6NJP5;P32189-1;Q14409,NaN,NaN,NaN,5.526804,5.663965,5.421604,5.869026,6.334313,6.165185,5.419824,4.956889,NaN,7.453929,6.971967,7.266819,5.316473,NaN,5.858898,5.3115,NaN,4.360139,5.421719,6.133347,6.054077,4.362275,NaN,4.709558,5.792364,3.883054,5.024075,NaN,NaN,NaN
P32242;B3KTJ4;B4DM62;Q9P2R2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.085076,4.826846,NaN,NaN,4.671968,NaN,NaN,NaN,NaN,NaN,5.093176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P32314-1;P32314;Q6IS90;P32314-2;B9ZVT7;C9JTA7,NaN,NaN,6.009663,4.167849,NaN,7.074853,NaN,NaN,7.178603,NaN,NaN,6.674999,4.219401,NaN,NaN,NaN,3.79613,5.712347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.365338,NaN,NaN,NaN,4.414271,NaN,NaN,NaN
P32320;Q6GV32;Q71UE9,NaN,6.253508,NaN,7.166963,7.727777,7.05679,NaN,NaN,NaN,6.099577,6.111397,6.791494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.650919,NaN,NaN
P32321-2;P32321;P32321-1;B4DDC2,5.915352,5.766264,5.338815,6.31431,6.445075,6.036829,5.791782,6.740378,6.638988,5.705017,4.98661,5.984149,5.932636,5.623983,5.828505,6.075948,4.455956,6.849585,6.768194,4.532512,5.766398,5.342995,6.812686,6.22256,6.178862,6.69917,6.282758,6.936287,6.266561,6.004493,6.333951,6.436862,7.100715
P32455;B4E1L5;Q5D1D5,NaN,NaN,NaN,6.634638,6.894958,6.756856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.705752,6.214658,4.328706,6.561745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.381656,NaN,NaN,NaN,NaN,NaN,NaN
P32456;Q8TCE5,NaN,NaN,NaN,5.137449,5.775508,5.627694,NaN,NaN,NaN,NaN,NaN,NaN,5.217168,NaN,4.333588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P32519;B4E2I5;B3KTE9;Q5T9E7;Q6MZZ4,NaN,NaN,5.690993,NaN,NaN,NaN,5.26062,NaN,5.1247,NaN,NaN,5.439775,NaN,NaN,NaN,NaN,NaN,5.917206,5.29638,5.38088,4.081023,NaN,NaN,NaN,5.273348,NaN,NaN,5.230832,4.991128,4.543832,NaN,NaN,NaN
P32754;B3KQ63,NaN,NaN,NaN,NaN,NaN,NaN,5.273233,5.532996,NaN,7.560014,7.389786,7.091702,7.024814,6.328461,6.769813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P32780;B2R7G4;B3KXE0;B4DSG6,4.608323,5.716638,3.990201,5.238372,5.897121,5.705975,5.639337,6.200029,5.600341,5.062808,4.558925,5.273765,5.28531,4.995464,5.154454,5.330393,4.622608,5.630733,6.210051,5.338795,4.968431,4.60283,5.923845,5.402382,5.294753,6.034187,5.840527,6.120541,5.837715,5.519316,5.558888,5.48704,6.025838
P32856-1;P32856;P32856-2;P32856-3,NaN,NaN,NaN,5.367412,5.029871,5.357821,NaN,5.039414,NaN,NaN,NaN,5.498641,NaN,NaN,NaN,NaN,NaN,4.46669,4.593972,NaN,NaN,NaN,5.690922,5.874215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.967721
P32929-1;P32929;B4E1R2;P32929-2,NaN,4.937367,4.495267,5.757775,5.933543,4.943737,6.868815,7.279347,6.968749,6.967019,6.688642,6.841741,7.50687,7.190276,7.19457,NaN,NaN,6.165571,6.312685,4.812325,5.248806,6.394311,7.270865,6.869044,NaN,NaN,5.009493,6.727411,5.996271,6.092124,6.434217,6.154911,6.568624
P32942;B2R736;Q5NKU1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.37495,5.937322,6.79195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.921525
P32969;Q53Z07;B4DLV8;B4E1M5,8.055989,8.206475,6.131618,8.114544,8.554005,7.98204,8.064046,8.678154,8.377707,8.280077,7.83444,8.190191,8.146965,7.719381,7.749296,7.827201,7.052194,8.034629,8.081815,7.186617,7.73958,7.811937,8.497206,8.303261,8.073755,8.385481,8.378107,8.261952,7.596487,7.753996,7.80956,8.079073,8.740923
P32970;Q53XX4;B4DPR8,5.033745,NaN,NaN,7.175135,7.685482,7.089835,NaN,NaN,NaN,5.882752,4.486232,5.649276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.850407,5.651123,6.636999
P33121-1;P33121;A8K9T3;B7Z452;B4E0R0;B7Z3Z9;P33121-2;Q108N1,5.759532,6.298438,5.390388,6.296599,6.884183,6.632397,6.05423,6.697229,6.151554,5.384192,5.531287,5.791859,7.12691,6.673048,6.969369,5.691108,5.085255,6.165482,6.268437,5.060131,4.29776,7.133283,7.749558,7.577492,6.322116,6.493416,6.365338,6.629104,6.47848,5.720424,6.146872,6.137417,6.608665
P33176;A8K048;Q2TA90;Q66K46;Q6P164,6.709855,7.181558,6.845222,6.891337,7.39592,6.991859,7.28076,7.780821,7.385946,6.935779,6.51084,6.928022,6.999839,6.452384,6.689566,6.84542,6.082031,7.197832,6.922518,5.969718,5.869695,6.77002,7.320956,7.175338,6.961957,7.373684,7.181615,7.031974,6.664567,6.017701,7.111128,7.312685,7.618142
P33240-1;P33240;P33240-2;B4DUD5;B3V096,6.577986,6.940935,6.825153,6.663465,6.753905,6.757844,7.19008,7.479489,7.287332,6.952041,6.407459,6.854494,6.415557,5.559188,6.239575,6.43718,5.494238,6.864932,7.070555,6.194764,5.619083,6.590084,6.995227,6.939919,6.899771,7.093071,7.070075,6.743134,6.243088,5.408392,6.941978,7.106327,7.399449
P33316-1;P33316;P33316-3,NaN,NaN,5.671598,5.921124,NaN,5.814407,NaN,NaN,NaN,NaN,NaN,5.456655,5.806987,NaN,5.290747,5.846943,NaN,5.807007,NaN,NaN,NaN,5.739113,NaN,6.077659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P33316-2;P33316,7.187492,7.666902,6.936273,7.033665,7.549384,7.167495,7.817671,8.31471,7.62391,7.554513,7.428524,7.738765,6.478148,6.337719,6.401917,7.528686,7.165778,7.920869,7.851521,7.197446,6.794063,6.17915,6.861893,7.045597,7.396443,7.929955,7.762363,7.333085,6.550485,6.174351,7.721456,7.630458,7.809506
P33527-1;P33527;P33527-9;Q68CP7;P33527-3;C9JPJ4;P33527-4;P33527-2;P33527-7;P33527-5;Q9BV39;Q9UQ98;P33527-6;P33527-8,6.639556,7.112069,6.501155,6.238122,6.633185,6.55782,5.55788,5.808312,5.56619,5.580446,5.434473,5.707851,6.182101,5.681051,5.825238,5.857459,5.054804,6.649423,5.743565,4.765259,5.114277,6.316893,7.081347,6.788239,5.521491,6.069372,5.931325,5.807292,5.194542,5.753016,4.614634,4.917994,5.566508
P33552;Q6FGI9;Q6LET5,6.825205,7.317143,NaN,5.449956,6.44406,6.982552,7.45585,8.041985,7.417887,7.068594,6.445199,7.381602,NaN,NaN,NaN,6.607884,6.030559,6.910896,7.555941,6.845253,5.702422,NaN,NaN,NaN,6.272515,6.931443,6.497414,5.841522,6.408613,4.51742,7.59034,7.663701,7.984869
P33764,6.181643,6.868245,NaN,5.722387,6.821022,5.915679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.642929,NaN,NaN,NaN
P33897;Q2PRN6;Q6TGM0;Q6TGM1;Q6TGM2,NaN,NaN,NaN,5.494322,6.063746,5.737836,NaN,4.921176,NaN,6.110657,5.356198,6.038422,5.926831,5.491348,5.896008,4.457488,3.902775,5.318418,NaN,NaN,NaN,6.079145,6.827498,6.378089,NaN,NaN,NaN,4.652517,NaN,5.333447,4.801356,4.62892,4.781368
P33908;Q6P052,NaN,NaN,NaN,5.421077,6.447282,5.700799,5.421226,6.147769,5.585844,NaN,4.398946,NaN,6.518066,6.173914,6.457079,NaN,NaN,5.12704,5.008472,4.544093,4.337459,NaN,NaN,NaN,NaN,5.669456,4.894433,NaN,NaN,4.18327,4.797544,4.643384,5.852157
P33947-1;P33947;P33947-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.093212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.525874,NaN,NaN,NaN,4.514734,NaN,NaN,NaN,NaN
P33981;A8K8U5;Q5TCS1,4.963514,5.503859,3.850658,4.392398,4.610724,5.235554,5.981941,6.3622,6.072103,5.253047,4.576698,5.020734,NaN,NaN,NaN,4.432023,3.518909,5.214976,5.934276,4.795908,4.627069,NaN,NaN,NaN,5.131201,5.640273,5.608986,5.545715,NaN,3.230296,5.992849,5.231087,6.325475
P33991;B3KMX0;A4FS09;B4DLA6,7.043952,7.340781,6.6289,6.814873,7.127137,7.013048,7.532996,7.955178,7.551877,7.244327,6.987514,7.304426,5.480783,5.538297,5.104965,7.351371,6.689069,7.611064,7.470469,6.797655,6.612975,6.155943,6.944719,6.673002,7.304254,7.760083,7.633135,7.053501,6.396409,6.293716,7.104556,7.379287,7.712052
P33992;A8K521;B1AHB0;B4DQ39;Q53FG5;B1AHB1;B3KVF0,6.903226,7.289589,6.808197,6.49453,6.921478,6.856397,7.435526,7.788515,7.552352,7.202434,6.764946,7.153602,5.114411,5.019241,5.204798,7.302504,6.595199,7.577652,7.430478,6.691373,6.02547,5.850585,6.797004,6.654831,7.356198,7.585483,7.455925,6.842871,6.407306,5.814014,7.200659,7.251906,7.664285
P33993-1;P33993;A4D2A1;B2RBA6;B3KUD7;B4DDF5;C6EMX8;A4D2A2;Q9H4N9;P33993-2,7.136435,7.353224,6.588126,6.843289,7.214632,6.827085,7.458834,7.789553,7.50375,7.368492,6.897325,7.051924,5.800263,5.383761,5.456851,7.378398,6.795957,7.586677,7.524824,6.737598,6.713827,6.418683,7.066699,6.731476,7.522992,7.738923,7.686699,7.155943,6.658593,6.425779,7.143327,7.204852,7.709618
P34059;B2R6P1;Q6YL38;Q6ZNJ9;Q9HAL1;B7Z267,5.056905,6.058767,4.930791,5.706462,6.364682,5.891799,4.866199,5.851081,4.930919,5.421538,4.329337,5.374418,5.895693,5.493737,5.667098,4.93673,4.898221,5.47557,NaN,NaN,NaN,5.272607,6.243732,6.069446,5.20715,5.668228,5.577825,5.234315,5.802753,4.557182,5.892412,6.146965,6.3714
P34741;B4DQ56;B7Z5H2;Q6PIS6;B4DT61,NaN,NaN,NaN,6.079326,6.353436,6.186928,NaN,5.010173,4.702387,5.777216,4.895655,5.310056,6.31296,5.214632,5.759736,NaN,NaN,NaN,4.796879,NaN,NaN,NaN,NaN,4.064084,NaN,NaN,NaN,NaN,NaN,NaN,5.622691,NaN,6.600929
P34810-1;P34810;B4DNT7;B4DVT4;P34810-2,5.855876,NaN,NaN,6.860655,6.979243,6.316306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.289589,6.514202,5.338118,NaN,NaN,NaN
P34896-1;P34896;Q53ET7;P34896-2;A8MYA6;P34896-3;B4DPM9;Q9UMC9;B4DZB5,6.418583,6.993626,5.91484,6.593419,7.089905,6.856179,6.711672,7.310693,6.862376,6.658298,6.26811,6.657945,6.375901,6.246745,6.134974,6.53052,6.38991,7.007193,6.928519,6.115843,5.988211,6.181214,7.142546,6.617901,6.782558,7.380229,7.028978,6.288719,5.918051,5.525848,6.037227,6.398062,6.773925
P34897;B4DJQ3;Q53ET4;Q5HYG8;B7Z9F1;Q8N1A5;B4DP88;B4E1G2;B4DW25;B4DWA7;Q5BJF5;B4DLV4,7.218772,7.803143,6.580297,7.338158,7.918874,7.306511,7.762993,8.36661,7.838112,7.679237,7.571348,7.704605,7.635856,7.373041,7.465368,7.588641,7.193097,7.754127,7.576503,6.967028,6.824204,8.000911,8.673923,8.485934,7.689318,8.140225,7.97808,7.895107,7.484755,7.320997,7.549273,7.755745,8.199591
P34910;B2R732;B7Z4A7;Q9BRW1,NaN,NaN,NaN,5.069964,NaN,5.460672,NaN,NaN,4.906766,5.2895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P34913;B3KTU8;B3KUA0;B4DFE9;B4E1M2,4.749589,5.723571,4.98875,NaN,NaN,4.656721,NaN,5.421538,5.047158,NaN,NaN,NaN,5.638569,5.299986,5.350151,6.032538,5.445246,6.59181,6.406353,5.572209,5.355681,6.563434,7.339094,7.005009,NaN,4.788988,NaN,4.810233,NaN,3.816321,NaN,NaN,4.357401
P34931;B2RCQ9;B4DI54;B4DXY3;Q53FA3;C9JBP5;C9JHI9;A6NNF5;C9JLY5,6.759366,NaN,4.217616,NaN,NaN,4.698788,NaN,NaN,5.065766,NaN,3.158905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.521948,3.225387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.485934,NaN,NaN,NaN,NaN
P34932;B0AZS1;B0AZT0;B0AZU6;B4DH02;B4DIZ3;B4DN48;B4DSE8;B4DT47;B4DUS3;B4E0H6;B4E354;O14992;Q59GF8;Q7KYN0,7.50147,7.88975,6.758655,7.744481,8.119652,7.753422,7.885723,8.332984,7.903025,7.821173,7.492816,7.62999,7.812512,7.466289,7.446754,7.582177,6.955139,7.801005,7.922923,7.105442,6.807961,7.393277,7.976116,7.639078,7.459407,7.920551,7.724669,7.861068,7.552291,7.104146,7.820405,7.890946,8.351216
P34947;B2R7K0;B4DWB2;Q24JT8;B4DPB3,NaN,4.287914,3.301421,4.96401,5.37665,5.369679,NaN,5.136277,4.64287,4.501443,NaN,5.194598,NaN,NaN,4.26811,4.449802,3.671562,4.864012,NaN,NaN,3.739509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.268086,NaN,NaN,NaN
P34949-1;P34949;B4DW50;P34949-2;B4DFC4;Q8NHZ6,5.990317,6.206853,5.00359,6.699751,7.193625,6.527617,6.896052,7.149835,7.131843,6.017034,5.687511,5.595551,6.651317,6.085326,6.350558,6.36012,5.805494,6.566556,5.517869,NaN,4.218851,7.259881,7.774291,7.42841,5.679055,6.115478,5.976565,6.807515,6.315845,6.018409,5.250493,6.04747,6.343546
P35052;Q53EX3;C9JGZ5;C9J1L8;B3KTD1;Q59GI7,NaN,NaN,4.954951,5.129883,5.998878,5.695657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.523591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.288853,NaN,6.198217,5.998952,6.331387
P35080-1;P35080;C9J712;C9J2N0;C9JQ45,4.923539,5.801932,6.315046,6.257126,6.642128,5.716104,NaN,NaN,5.00843,NaN,NaN,NaN,4.667574,NaN,NaN,5.214049,NaN,NaN,NaN,NaN,NaN,5.553871,NaN,5.948281,5.923679,5.775457,6.427713,6.257054,5.310736,NaN,NaN,NaN,NaN
P35080-2;P35080;B4DNH1;C9J0J7;C9JUG0,7.172865,7.533136,7.285512,7.571848,7.9533,7.517051,7.373629,7.610075,7.200741,NaN,NaN,NaN,6.869431,6.230142,6.469424,6.846337,4.120344,7.194708,NaN,NaN,NaN,5.928263,7.614338,7.055455,7.366964,7.840664,7.636508,6.893168,6.263305,5.439443,7.290791,7.720325,7.682046
P35125-1;P35125;B9A6N0;P35125-3,NaN,4.393048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P35218;B2RPF2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.741207,5.600995,5.990459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P35219;B4DFA0,NaN,5.800387,5.519369,5.261215,6.856348,5.774634,6.803402,7.408765,6.972495,NaN,NaN,NaN,NaN,NaN,NaN,6.474959,6.027349,6.928247,7.123623,6.464713,6.46913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.703532,5.292566,5.968759
P35221-1;P35221;B3KSR8;B4DKT9;B4DU00;B4E2G8;Q8N1C0;P35221-2;C9JMP9,7.039414,7.401883,6.755905,7.231036,7.589425,7.248954,6.708735,6.958917,6.730168,6.765423,6.417472,6.64067,6.213438,5.884093,6.029262,4.894028,4.517882,5.846337,5.732265,4.686484,5.163221,7.376541,7.880087,7.716805,7.28686,7.662371,7.508637,5.767408,4.903475,5.351564,6.879887,7.042497,7.51207
P35222-1;P35222;A8K1L7;B5BU28;B4DL06;B2ZRG2;B4DGU4;B4DSW9,6.811226,7.230321,6.289923,7.043048,7.464818,6.986875,5.742749,6.68719,6.373317,6.350694,5.827912,5.95907,7.407612,7.115411,7.327195,NaN,2.612678,4.472405,NaN,NaN,4.082857,7.342166,7.842329,7.595981,6.879125,7.158483,6.95551,NaN,4.023952,3.909738,6.759804,6.738241,7.157124
P35226;Q5T8Z3;Q5U0M5;Q6IB93;Q5T8Z1;Q5T8Z4;Q5T8Z6;C9JKW4;Q5T8Z2;Q5T8Z5,5.563694,NaN,NaN,4.328135,NaN,4.829638,5.531223,5.958655,5.258134,5.794544,NaN,5.938895,5.636066,NaN,5.440673,6.452093,4.09489,5.888022,5.351893,4.462832,NaN,5.966662,6.439727,6.624973,4.930251,5.847899,5.473414,6.368993,4.64659,NaN,5.879113,6.008004,6.375279
P35227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.699647,4.892623,NaN,NaN,5.192957,NaN,NaN,NaN,NaN,NaN,4.7478
P35232;A8K401;Q53FV0;Q6FHP5;Q6PUJ7;C9JW96;C9JZ20;A8MUL1,7.832573,8.063971,7.186561,7.724194,8.108971,7.944907,7.761514,8.468125,7.979311,8.149035,7.832617,8.025388,7.983802,7.456897,7.762033,7.514601,6.789975,7.776621,7.842622,7.114878,7.068111,8.189238,8.528775,8.451264,7.960784,8.18327,8.130784,8.059336,7.708498,7.389042,7.669159,7.658574,8.199069
P35240-2;P35240;P35240-1;P35240-3;P35240-8;B7Z4B6;P35240-6;P35240-5;P35240-4;P35240-7,5.304813,6.118728,5.708591,6.204527,6.601103,6.284724,5.836204,6.093457,5.953344,5.39097,5.059525,5.390811,4.518211,NaN,4.422212,5.268531,NaN,5.530443,4.682966,NaN,NaN,5.204554,5.968576,5.643275,5.432344,5.524954,5.570286,4.771065,NaN,4.576088,6.649491,6.519093,7.08361
P35244;A4D105,6.797884,7.257414,6.108836,7.111363,7.662059,7.46663,7.660903,8.338098,7.815425,7.042851,6.782952,7.054536,6.663729,6.443623,6.179523,7.187323,6.729027,7.489522,7.537328,6.887876,6.882547,6.951454,7.760279,7.624055,7.014647,7.333367,7.502045,6.793406,7.142828,6.665675,6.933882,7.39333,7.996043
P35249;C9JZI1;C9JTT7,6.397001,6.975303,5.98627,6.593053,6.85906,6.773377,7.167878,7.755806,7.126001,6.939878,6.589838,6.847307,6.309439,5.709669,6.073132,7.220997,6.539264,7.414505,6.851613,5.807508,6.153663,6.144823,6.907889,6.437116,6.770506,7.150204,7.072323,6.749102,6.08934,6.342798,6.924853,7.196314,7.566272
P35250-1;P35250;B5BUD2;P35250-2;Q75MT5,6.36575,6.607069,5.821926,6.461349,6.607691,6.268882,7.175946,7.385034,7.223911,6.770698,6.333548,6.742285,6.203115,5.606059,5.740694,7.142108,6.55617,7.076313,7.117901,6.045949,5.090293,6.237569,6.50857,6.384461,6.753039,6.927139,6.906755,6.5781,5.791115,4.846077,7.033705,6.895224,7.279941
P35251-1;P35251;P35251-2;Q14756,5.103633,5.664858,5.609519,5.458744,6.009111,5.868233,6.251346,6.292633,6.196701,5.97347,5.23621,5.667583,5.351758,4.754853,5.490997,6.213438,5.019033,6.443435,5.962152,4.498352,5.243534,5.381855,6.23073,5.958898,5.58262,5.741372,5.915389,5.76,5.226806,5.002209,6.118232,6.076531,6.869003
P35268;B8Y929;Q7Z4W8;Q8WYP0;Q9BYF5,8.018368,8.408376,7.592865,8.140947,8.264417,7.911908,8.206259,9.057285,8.472654,8.046065,6.894654,8.360177,7.965197,8.058464,8.19078,7.840865,7.469424,7.869372,8.353436,8.121494,6.424277,NaN,NaN,NaN,8.084147,8.484883,8.335839,8.087781,7.798091,6.231826,8.279552,8.135546,8.667929
P35269;Q6IBK5;B4DXY2;B4DDB5,5.871445,6.530366,6.185344,6.151646,6.633398,6.403361,6.747077,7.117603,6.717129,6.590808,6.03539,6.535471,6.251711,5.944028,5.89171,5.92716,5.604981,6.86858,6.715034,5.850818,4.311711,6.37994,7.015862,6.604485,6.489537,6.744997,6.594028,6.485224,6.265596,5.314289,6.343979,6.483516,6.714103
P35270;Q93041;Q9UEC5,7.420517,7.638839,6.911765,7.260739,7.619875,7.061075,6.938304,7.512738,6.979357,7.494127,7.062093,7.23434,7.741593,7.295523,7.446304,6.650958,5.432087,7.000521,6.932398,5.875929,5.80493,7.203495,7.685133,7.530622,7.519552,7.781518,7.635685,7.635765,6.979266,6.826955,7.189097,7.37727,7.886626
P35354;Q8IZA9,5.534013,5.619208,5.669856,NaN,NaN,NaN,NaN,NaN,NaN,4.636658,3.994832,5.420434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P35367;A8K047;A8K7Z2;B2R782,NaN,NaN,NaN,NaN,5.705761,4.607519,NaN,NaN,NaN,3.686001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
