id,HeLa_geiger,HepG2_geiger,LnCap_geiger,HEK293_geiger,A549_geiger,K562_geiger,MCF7_geiger,Jurkat_geiger,RKO_geiger,GAMG_geiger,U2OS_geiger
Q00973,,,,,31.03206935030072,,33.634781943493884,,,36.237195905264976,28.08049012161236
Q00978,,,,,,,23.734948264674095,,,50.268334217899842,30.125598535813918
P62277,252.08851481917335,228.02459565745721,261.1190164783784,345.41898665751324,216.55655190208662,210.01020608467329,320.20436791201314,198.47910590317485,223.54445825958067,276.87552045817398,321.03261419732917
Q6TDP4,,,,,,14.505649605681787,,,,,
Q9NV23,,,,,,,,,,,38.227103749093807
O43913,51.193524957999273,28.817006261731002,26.553503950371493,84.985334304838887,48.745956411079838,46.054845600713882,74.178060656122923,50.621710156000688,41.890660741284314,55.705357829947594,67.303087162737597
Q9Y6G9,99.304418156043027,101.05239029512349,105.48674597848463,166.85316794791049,85.963019832783104,89.769733078676509,118.24877963158485,85.327582373025351,93.578356155425055,126.98332069486942,149.37333114666845
Q9Y6G5,43.599057946103166,26.484316190395397,68.025081720685691,65.467280164337737,53.16366278816178,26.243836710779192,80.200987893213963,52.385258519853686,29.355631356203137,62.568491927699654,77.204049204561713
Q9UKX5,27.78780551423247,,,,,,,13.241292066158083,,39.19394997940578,
Q9UKX7,91.851972339373489,63.544475213793369,88.678963687010977,107.70433144157049,74.787090229069364,60.778240883177169,112.5307132217295,86.983070833729144,52.799204595062179,53.759652885130699,119.48591857714921
Q9UKX3,9.1065209947870152,,,21.982598071791905,16.202202063674555,,,,,,35.94652470386977
Q7Z5G4,56.399501191254764,51.686922655985541,72.002114424604073,67.939950849263695,61.060791373238892,54.860277297519225,63.384360165633424,53.43802040138813,46.80811377239268,79.825720903335508,58.354613801340726
P23378,,79.685040888993527,74.120941855275802,72.325894178365445,55.288529306583641,,,15.176879730726096,,,21.23804405071871
P41091,225.3030590757302,162.27642283003524,198.82467569481764,246.12878726130114,198.74197678059954,165.90932788371006,229.97419595210761,156.46814585063862,149.8821200068208,206.44960916790441,190.11980543519314
Q9UJT0,21.125083997287071,,27.552093728187636,53.88344866079521,,22.497034564786063,27.036734347240294,35.22894013739139,41.924843718495417,,30.577361123369872
